view,angry
331046,34270
200127,16075
196997,1077
174632,14161
169471,4652
149380,15262
141388,824
140395,3893
135112,1940
124725,732
112710,440
110050,6435
108688,326
107359,2796
100489,7106
96329,158
95367,912
90380,230
88449,196
87939,149
87803,8774
84114,9590
81532,307
79469,6350
78863,4131
78523,2769
75481,3078
75391,7623
75312,743
74518,9845
203135,34493
187682,8499
166801,434
134609,7194
124460,4375
112830,476
103781,11908
100082,8796
94819,17340
94402,240
91391,315
86094,8359
84627,13424
81783,8918
78611,1841
77916,149
76172,3768
71012,155
65639,1174
65234,1102
64356,23
63915,881
62435,1192
62275,1750
61938,2235
61730,868
61330,3922
60383,886
59822,6280
59707,122
340221,38104
336015,1259
306843,2115
274130,2076
273344,1876
198699,1169
157586,1069
147244,151
145378,15473
143043,9442
142370,1250
141153,579
138707,2101
128964,5168
117540,506
107102,1147
103037,3875
100644,8551
100237,437
96749,467
95464,1528
91847,8511
89441,237
88903,7754
88717,302
87648,2832
86681,165
85840,176
83750,200
83178,627
238475,1791
220156,13211
190732,4890
164684,19166
153768,11967
127426,130
126368,8551
116062,8310
112343,2475
99842,10969
97029,4185
92355,373
91646,8511
89453,1028
86177,475
83592,12593
83424,171
81311,106
81146,1469
80786,5837
74220,4272
73088,3598
71058,5534
70828,7204
69792,2606
68514,1548
67139,3275
66898,131
65282,603
64725,995
250259,27606
164840,1097
163520,466
160132,4944
146431,11163
133346,11178
132267,23567
128284,7740
125324,6216
118796,5004
108895,82
94071,194
93674,4148
91890,10228
91525,3059
89044,3293
88140,3992
85789,1864
83495,8353
82152,12709
74805,141
74518,329
74311,3851
69776,4854
69036,662
67784,401
64872,6005
62778,10860
58002,420
56866,1864
349578,24742
348519,32317
199061,25011
195708,1822
190931,197
142516,4490
139977,7725
134642,901
131732,10935
128954,11183
111566,904
97913,10038
94794,10062
94520,5593
86950,362
78685,568
77835,1744
77548,7284
77504,5462
73967,3749
71557,1985
70752,68
69436,3059
68186,93
68179,5893
67584,196
66860,1155
63806,5115
63323,551
62792,60
244801,18416
202482,1990
183468,20712
151222,88
128658,7081
116722,423
103948,535
101749,6395
100650,259
99083,9616
96731,256
95863,12456
92153,373
84843,11989
83169,2548
80158,1304
80083,11074
76980,14004
73860,13222
71495,1418
70937,3577
70927,515
70612,4856
70330,7511
68368,5080
66386,5278
66246,30
64600,4316
63639,2601
63018,266
177644,847
167735,866
144685,278
140913,461
138987,427
130916,998
119397,359
106720,665
106461,573
104302,223
103893,1837
102227,14824
101080,1262
95792,166
90891,2321
89305,543
86512,696
82139,131
76568,50
73401,1985
73062,1051
71008,910
67928,3521
63387,3337
62745,95
62646,10770
61367,3708
60702,1689
60584,2498
60552,100
196436,1251
117083,5490
102535,282
100608,943
97625,683
89399,118
88781,1083
86822,644
82485,744
82472,785
79791,14568
79498,865
78714,6563
76025,476
72195,5521
64474,200
62012,868
59754,479
57989,57
54827,2032
54137,3727
53504,216
52080,4756
50663,777
49023,1906
48668,409
47990,847
46610,144
45182,47
44244,237
213355,12895
170554,18456
163228,8272
134812,6359
125890,12550
120348,6394
114314,4427
113960,483
113337,7173
105801,2334
100846,329
100125,19696
87751,3434
87604,2611
86244,740
85940,10570
76376,4234
75810,8505
74749,4223
73710,245
71298,87
65685,2389
65632,6788
65092,57
64534,7046
64333,97
63978,197
60742,125
59341,283
58598,232
210438,8823
177879,21177
176055,8634
143394,4910
106880,110
95091,601
89499,484
83282,4576
77275,5690
76655,53
76414,66
71079,3866
69403,3560
61991,77
59069,216
58382,6189
57227,2723
56754,204
56129,357
54491,1365
52620,6845
52320,39
51792,3725
51405,6770
51228,944
50800,11844
50546,881
50501,49
48908,155
48103,2037
216431,18148
169084,16637
128141,4877
121490,6185
98752,85
98692,6803
86078,2435
73818,1038
71856,3262
71063,9099
62796,1889
61521,10069
58078,914
57162,264
55359,4973
53603,4544
52540,11844
48927,1088
48105,301
47846,238
46894,947
45559,6770
45508,2088
44995,727
44948,9399
44895,1700
44789,4769
44782,1014
44074,6304
40699,510
232130,506
159102,18972
144229,12501
105407,22
99290,6778
81465,12456
79879,76
78769,5408
76373,10542
69646,3837
67942,25
65715,7248
60749,810
58884,4190
58032,576
56988,8563
56505,4944
56380,1313
49235,1587
47472,3671
47059,3220
46581,5258
46393,46
45592,3240
42542,2793
40814,1144
39831,2148
39391,398
37863,104
35077,1587
487572,15841
217863,5458
191811,5506
172995,8007
172610,568
144614,359
144030,462
140999,598
140999,227
137222,8856
136231,1276
130611,236
124236,3207
119896,9576
118444,5997
116292,7301
111609,5652
110717,190
109498,2985
108840,4916
97885,1541
95994,5539
93634,1321
92946,3236
87844,137
87818,393
85629,442
85328,416
83918,11120
83158,691
347557,23171
228472,636
212166,1076
194051,92
192765,4607
184480,2007
172651,18600
165460,5574
161874,4759
147147,4783
124925,11080
114044,9936
111849,2317
110339,8629
100668,2659
98502,2174
93667,3180
91155,2267
87755,749
84984,6150
84679,3117
82231,1618
79167,4184
75274,986
74673,2438
73028,1414
72708,1587
69028,1108
68466,121
68274,887
204576,5493
174945,245
164635,802
151749,8582
132717,8424
131405,4319
126580,4049
114405,1513
104924,693
103964,1335
101918,4267
88110,6893
83486,2884
79351,646
77571,4128
77057,8121
73262,394
72153,989
71583,4758
71302,1913
71296,603
68984,5922
66047,2761
62918,883
60805,49
60514,2495
59929,2440
58414,1056
57095,5052
56614,15
224669,4204
174940,6585
157356,921
143719,13582
141064,10060
127729,13454
119919,10428
119037,140
116210,260
114384,296
108467,12110
104608,2622
94833,1242
84692,172
82807,3624
79670,2069
75502,5406
73360,4298
69773,4449
66736,61
65954,827
61070,38
58037,3664
55706,1387
55679,5088
55335,2268
55238,2715
55227,334
55099,2141
54587,4243
281268,545
144332,13582
128389,6569
125049,581
120930,9472
112024,230
90940,10877
90114,1022
89330,70
89215,13788
89188,72
87293,18323
85246,724
84969,609
81359,1147
80706,169
80096,3966
79101,1396
78847,348
78319,130
77897,3104
76634,4888
74670,2322
72892,36
71409,36
71056,3891
71051,827
69607,187
68409,2100
65707,851
176172,1363
166036,2608
163712,6680
163309,817
161347,101
152435,142
142146,140
128354,9078
116121,50
113302,574
106794,293
106603,2501
98777,683
96214,4970
94823,5124
93402,2840
91458,302
91412,1346
90723,1223
88177,133
87447,10638
86420,106
81670,39
81155,3539
77179,2889
77011,3662
75179,80
73422,280
71495,122
68234,4385
231715,14885
216941,1412
153319,5044
136202,2195
123428,1056
123395,17
118391,8897
104187,1778
99923,4685
94524,574
94187,11
92213,647
87547,298
86681,3768
85637,2849
79540,10374
77322,4008
76428,5683
76235,5506
74947,4630
69960,500
66355,8395
59626,302
59132,1780
57711,1363
57564,334
56610,1613
56074,413
55187,6098
53868,1418
192970,10129
161882,15037
133038,6747
125998,3025
110656,18211
109504,463
108280,14885
107050,9013
99962,1828
95810,10269
88185,1160
86050,3209
72956,9143
72611,3441
71994,1827
71948,4951
71745,6563
71217,2236
70382,4497
69974,108
66978,4407
66748,4360
66155,2954
64588,565
63946,5925
61683,4005
61014,3768
60886,3279
59408,899
58661,5180
277290,9360
131966,9085
107996,8182
97014,3535
93201,3667
92133,790
84166,1520
79900,4005
78126,4095
77527,286
76181,2720
75793,2499
74797,485
74397,1244
73656,4679
72851,878
72179,10335
71419,1021
70717,1644
69330,9328
69017,3236
68415,1168
64245,8078
60734,4704
60596,605
58788,582
56548,1597
56093,1238
55702,2620
55261,1607
195231,1800
167688,4093
161279,6597
141489,4357
121463,1250
114076,11389
111226,5606
111199,2032
110632,6062
107073,1572
106478,2589
105950,2157
102918,2500
92812,1594
90015,2224
85744,835
81716,269
80187,6283
79890,994
77223,761
71137,550
71132,819
69091,558
68976,1794
66527,3212
64816,720
62492,686
60005,55
57264,1011
56507,649
241864,2023
172683,396
155878,270
154572,6158
133120,443
122254,64
121957,141
99978,3688
98821,2264
89642,800
89346,165
89111,164
88440,4411
82177,131
78981,6927
78482,137
74185,2973
71036,259
70516,1817
70409,840
68860,213
67870,597
67581,670
65633,1218
63072,96
63065,520
63023,347
62969,5117
60618,561
59360,837
146755,5972
143823,192
130623,2347
124004,4268
123531,857
106374,162
104961,4972
95067,2004
86079,2100
85398,487
82194,296
79811,1522
73654,1722
73188,814
72221,1907
71671,1323
66575,285
65982,800
65339,2830
65158,950
64408,6257
63058,551
61969,10756
61632,105
60183,25
59258,6158
58665,498
53221,1445
52584,1410
52295,347
226043,204
180605,27227
160238,4030
159224,1015
152944,347
152428,3936
142619,7227
138439,10751
134108,5949
126151,5779
110151,804
104500,642
98355,2623
95124,859
84314,743
82870,2533
79393,2186
77640,1533
72545,681
72320,408
70746,15
68053,1011
68046,1113
67676,3317
67577,554
66249,5
65266,1110
64693,894
62944,434
57523,2517
162959,2421
131357,1453
129064,342
125457,3838
115088,1020
109186,13483
98276,5620
89623,74
86335,8899
85336,27
84658,1570
83664,38
81962,1122
78042,921
76745,24
75376,1487
74549,9981
72450,725
72427,270
68272,20
67037,166
63667,3548
63584,3342
63277,41
62685,405
58660,992
55924,347
53746,3936
52110,818
49730,1113
236045,12244
151003,3228
142391,915
113143,1308
111283,4189
106338,339
105899,137
94049,1083
93388,1031
92976,1376
89946,956
89838,956
88588,1378
83749,10
81588,2189
76529,974
72622,613
71878,5745
71207,14
71152,4601
68485,3168
67396,174
67270,844
65167,1162
61568,4771
60216,1961
59924,685
59312,797
59278,141
59196,3739
144560,3728
137374,109
132767,127
107942,101
106908,4805
106155,2596
104892,287
104428,1736
103110,1614
101104,4738
97462,874
96773,230
95024,1366
92155,396
85669,803
83859,1505
83712,40
81981,4673
80022,1206
77594,103
76866,850
75646,58
72853,143
70147,422
70032,2268
69397,2258
67407,609
67379,20
66558,82
66272,111
243211,2127
204922,4879
203401,2956
166987,298
153094,783
152846,1074
131882,667
129015,448
124249,131
119109,1250
117509,199
115183,4948
114669,4836
100794,1173
96732,454
94247,11316
94104,412
91484,3003
90945,1597
85682,1526
84600,843
84013,1638
83944,5874
83934,3157
83452,1712
82239,28
80870,712
80779,573
79758,552
78322,788
321969,4230
182077,12487
164545,2844
157154,170
140680,2854
112061,785
109048,247
107094,1778
100339,635
95977,2734
94699,568
86979,664
80660,3194
79787,599
79345,928
68864,3908
66766,899
64778,625
64144,510
62844,57
58892,3235
56210,729
56070,206
55066,2997
53387,796
53103,803
52248,304
51573,4265
50798,241
50542,229
149668,959
119444,6323
112882,1387
105954,5222
85288,7732
81992,2501
76199,1516
74240,2755
72297,3590
70216,1339
69633,1790
68226,4525
67865,3905
67777,1073
65432,1627
62064,857
61264,571
59954,7269
59600,800
58746,992
57546,2710
55256,480
54986,564
50519,2377
49279,530
48962,769
48874,2238
48350,581
48204,525
47953,3503
244140,2885
202866,1655
161565,9956
155974,1073
149371,1000
123142,1377
122714,934
119483,2543
109798,2312
104003,2397
102478,1673
102474,7769
100091,925
94067,283
93326,1385
91343,1378
88788,890
86361,359
84582,2161
84406,2471
77506,7019
75955,1307
75946,2314
74768,606
70820,829
69374,3687
68742,1978
68663,847
66072,2755
65183,1242
209601,3118
200234,1458
159088,885
157876,1380
116894,244
107021,226
102932,7019
97098,908
94935,614
93157,1510
88755,6269
85908,192
83407,935
82433,142
79995,149
79784,670
78798,890
78417,4106
77049,1655
76850,9152
76336,534
76313,414
75874,2688
74036,323
68471,1251
68105,448
66518,1590
66512,611
63080,336
61367,321
192041,4678
166352,6702
132353,445
119828,8346
102492,4798
97824,10026
94374,2414
93504,1391
88811,1171
87424,1930
81638,4858
79438,1942
78059,2372
76104,613
73257,1532
70709,255
70367,179
68883,1343
68432,593
64999,323
64709,570
63152,612
60789,730
59128,2035
58329,773
57608,789
56575,663
56442,477
56015,1435
283684,1494
282928,22264
175080,7337
125853,196
100369,85
91797,491
85882,806
81526,6481
78455,108
77185,1032
70990,179
69828,1454
69030,141
68588,181
64167,326
63938,544
62679,1809
62597,71
61325,114
60901,1861
56238,50
55409,1156
54052,307
53656,857
52191,545
52021,366
50710,59
50533,1013
48374,162
47643,367
172773,7738
164495,6057
81180,1031
78130,640
76150,4410
73815,312
72567,1638
70836,162
69802,445
64939,1471
63690,1740
62660,1268
61184,41
60443,625
57280,382
56703,2913
56530,70
56364,1470
55684,1348
55085,601
55079,2766
54973,342
54053,3997
53411,2545
52124,669
50961,2023
50436,574
49535,311
47454,17
46575,33
227279,5761
150542,1621
150118,5548
134321,677
127180,5482
123116,8108
116083,1581
109423,3938
107541,194
92565,1172
86956,2283
78342,454
77903,774
71407,2566
61312,306
61283,2063
58875,343
57613,629
56008,426
55813,1105
54451,350
54111,102
54036,627
53898,292
53667,385
53613,1831
53347,92
49291,1568
48191,179
47935,1716
140993,951
136319,1946
133602,4472
128641,1629
127145,9408
117606,2155
117430,1430
110870,6564
109030,4714
97872,1078
92251,1246
91945,771
84394,663
83217,487
80470,2265
72560,1730
71681,2394
71652,5224
65699,2992
65170,407
64677,401
63365,907
63347,958
58622,605
57853,915
57212,1541
57013,1836
56203,3175
56193,154
55210,521
188312,1765
123007,1452
109771,49
89859,1385
88355,8469
76832,2180
73864,975
72928,315
70907,513
68790,321
67724,643
63820,1195
60368,410
59688,1096
53220,1961
52341,1299
51926,658
51574,1541
45986,51
44071,356
43964,906
43727,132
43156,677
42731,2867
42400,444
41631,3970
41435,1001
41409,422
40496,140
39940,280
131288,264
126070,1630
110530,280
109675,7445
107174,1757
89892,890
84016,412
82576,1417
82562,2560
82537,548
77935,964
76062,369
71966,1842
70429,497
68039,277
62524,926
59596,4997
58260,301
58158,1078
55201,1801
54646,1694
53778,3189
53556,494
52141,2082
51147,197
50477,212
50400,773
49400,455
48200,178
46261,1013
206527,25095
177664,6111
176161,4105
167041,4251
134007,20474
112669,2548
103299,639
99910,6376
98187,16697
90368,384
89183,2399
86403,3452
81604,477
81544,503
80085,292
75215,283
71842,1149
68833,426
60348,1231
59270,1905
57361,1462
54271,823
52760,229
52121,4258
51562,1384
51141,735
50858,1054
49503,4130
49173,6772
48748,163
364800,48
150344,9782
137982,2749
83734,149
76594,8699
75135,6791
68661,807
59438,309
58716,933
58510,937
56165,224
51763,334
50680,282
49302,205
48752,61
47444,1274
44548,229
44050,1215
41319,529
38950,1196
38773,554
36652,378
35725,75
35361,210
34682,1836
34555,193
34396,119
34211,375
33744,798
31476,177
139495,11108
127275,10965
82346,543
73136,1940
65883,669
63527,452
63185,5214
62323,4316
61480,3811
59667,289
57142,759
56065,6890
55705,243
53118,171
51572,1737
51016,1845
50746,75
49108,764
46739,384
46477,20
46266,753
44423,295
43625,2114
42154,489
41047,308
40000,108
37880,63
36514,161
36440,587
35720,336
134468,5885
123162,5257
105361,191
101417,2165
84448,394
76087,9238
72709,301
65720,7886
64855,2403
62398,2006
57539,308
55751,421
52629,2637
50791,43
48751,493
48345,149
46690,2279
44713,481
43902,44
43164,134
41845,2547
41771,500
41548,1760
41037,420
41004,269
40702,1085
39634,1038
39611,267
38871,30
38766,181
180659,6098
115839,98
115076,6179
113676,3642
103841,9453
98806,11
96891,7453
94948,581
90034,2392
84277,1353
83620,5491
80356,3600
75379,2568
73228,578
70396,3837
63041,2063
59141,1473
58462,653
57534,63
56556,4705
56330,1215
55109,20
54704,544
54315,1482
52107,977
48374,1324
47224,163
47068,707
46561,1847
45689,164
206995,3122
150540,7697
133784,757
126057,9792
111195,1858
88767,2148
83802,10391
78381,579
74688,2008
72851,4250
72462,1796
68012,839
65833,5336
61682,276
60974,452
58279,4271
57872,1123
57706,582
57356,409
55645,3825
55502,5139
53248,519
52154,326
51669,799
51596,211
49872,6098
48955,597
48164,210
47926,329
47027,152
423502,13704
179491,3624
146119,9145
134705,2285
121478,1431
96613,1858
90408,2718
89216,598
85821,61
85767,169
83771,5086
81736,660
78395,254
75292,164
75133,60
74212,580
72984,2808
72074,75
70628,997
69131,3407
67659,73
64277,3720
63218,197
61147,320
57952,1169
55526,1086
55404,426
54361,68
54051,3977
54039,86
273691,3998
125209,417
118677,3138
97584,741
93806,2461
90475,857
88114,9799
79040,2284
75471,5998
72500,421
67460,296
66563,320
66272,259
61911,602
61566,2763
58498,1033
58386,372
56774,263
55354,302
51888,1129
51486,539
51383,138
50705,592
47274,563
46461,782
44394,87
44119,201
43895,797
43808,1741
42001,816
163034,894
152358,2494
133288,165
127168,445
121774,834
121186,6323
119287,5108
107900,291
106156,6160
105778,7372
100332,2317
93148,505
91890,3267
85296,17
79870,93
74892,170
74217,196
67756,3137
67283,211
66536,166
66249,204
65268,4503
61911,1403
61158,143
58253,1762
57021,510
55266,1630
54392,246
53046,157
52735,715
168769,8357
141811,10626
122151,12615
121213,990
110110,890
100187,11340
88957,258
88868,183
86260,1040
84308,2886
83194,556
82132,1356
79784,545
78777,2561
77077,325
73003,463
70640,3052
69751,3899
67754,2877
61911,907
61702,1024
61449,723
60810,1688
60303,397
59536,350
57332,1332
57271,821
56870,243
56032,1470
54526,2596
240038,12205
152750,1233
116318,317
104943,1039
103374,850
101050,7433
99613,532
99347,641
96360,2336
93546,388
92903,926
79293,1862
78203,965
74472,615
69010,2215
66480,162
65347,8885
65011,662
62242,196
61016,240
60726,546
58547,162
58118,64
57305,1368
56814,82
56467,828
54303,743
53974,164
51900,1021
49345,1740
218832,120
206256,886
150374,1803
118166,2529
107995,1506
106067,1362
103440,1879
102373,297
99619,1165
96415,443
94447,814
91678,369
91442,2845
90702,768
85494,637
79309,764
78849,299
77961,286
77824,690
77648,766
77422,3440
75510,498
75391,1537
74901,1571
73804,12
73153,193
72797,564
71691,672
70357,328
70280,2110
163071,818
138546,1112
117838,4253
108580,1505
104404,590
103029,1031
98350,913
93023,852
87889,1102
86299,1102
82625,484
81723,1222
77481,1845
67526,532
66620,312
64563,254
62946,437
62912,676
62112,647
61656,455
58071,282
55386,278
52774,297
50382,30
49927,38
45003,3519
44553,183
44461,690
41543,296
41102,33
188808,1372
188030,2149
176290,581
149561,176
143802,1314
139077,277
132998,258
132809,694
118526,811
116699,911
94389,3938
92379,542
86244,348
85699,987
83868,849
81031,2377
80680,3733
79840,526
76040,891
75393,1259
63141,199
62801,398
62004,930
61105,1084
57320,2180
55836,545
54417,1692
54139,324
50112,546
49224,30
175990,1618
175788,9030
163967,5090
157979,695
140624,1213
123727,1849
110148,1080
108656,1067
95139,2797
95031,3638
91860,1055
86817,829
84696,2623
84535,5485
80034,1220
79990,450
78439,730
73929,1859
71402,793
69746,555
68784,290
65710,393
65450,2361
65230,1223
63488,339
62860,613
62510,2105
62488,3319
60772,1192
60645,1854
245364,14390
198997,3121
181181,19376
145399,47
103780,411
98299,5161
81498,4975
80939,427
78604,770
74283,685
72245,464
71774,1438
69401,1606
66124,3336
62972,1686
62920,393
60846,1299
60070,346
57363,2547
51977,481
50952,101
49957,645
49256,1007
48925,2585
47648,1012
47642,2346
46881,570
46299,812
44948,1614
44805,1220
176071,12012
172165,4242
146595,701
138349,3353
123582,260
116357,70
100456,985
98343,3065
93680,1853
93444,520
86480,7135
83378,528
80665,1158
79661,4233
76475,84
75119,650
74634,872
74460,427
66689,624
65697,1785
64443,1022
64107,232
63063,305
62091,479
61913,1415
60777,2744
60593,742
58862,1176
55847,2012
53190,794
161510,4388
134840,2312
125860,653
124184,586
120328,321
115588,1152
114633,1254
111471,4513
108842,461
108156,473
103529,401
100706,494
98880,620
96525,328
92717,363
91892,9873
90629,587
86198,28
81120,849
78797,719
78678,933
78064,757
77765,1437
77104,2143
75401,3250
72944,2317
72264,436
71635,1309
70915,508
70583,2646
167182,2435
150015,91
138373,2312
114097,1916
106713,2635
103988,1632
101823,1070
101168,5454
97987,2456
91834,3303
87018,1139
83599,295
78680,1668
77473,2680
68702,1423
68681,1702
67363,822
64463,600
62882,615
61703,1404
60042,1914
59566,354
58328,1562
57431,2545
55871,521
55495,398
53585,2373
53488,336
52789,1354
52418,263
276915,937
196428,6345
157422,3662
135402,1647
126514,3716
122714,777
117827,6386
116941,2063
114646,5608
110730,299
105825,6943
104950,4252
99956,671
96027,507
88797,858
84927,1552
82780,918
79230,437
79102,205
78565,210
76712,3339
75101,1759
74090,47
72988,4252
72127,4516
71087,387
69608,5362
66607,1275
63503,359
61782,1218
162952,6069
161226,4970
150513,6059
139457,3272
136942,3050
114864,476
114732,26
113930,596
110273,1442
88198,2140
86622,2803
86047,647
83754,259
82284,1393
82265,213
